instance_id,n,algorithm,clustering_method,num_clusters,iterations,seed,reference_type,reference_length,solution_length,relative_to_reference,compute_seconds,valid_tour
4,1000,clustered_sa,hierarchical,16,32000,505,,,41.61977240826778,,0.13646785000037198,True
4,1000,clustered_sa,spectral,16,32000,505,,,42.3293891985673,,0.35811816999921575,True
4,1000,clustered_sa,greedy,22,32000,505,,,39.475825012737786,,0.13463907999994262,True
4,1000,clustered_sa,kmeans,22,32000,505,,,37.108686933009935,,0.19312718499986659,True
4,1000,clustered_sa,hierarchical,22,32000,505,,,37.07114603798958,,0.13868431399987458,True
4,1000,clustered_sa,spectral,22,32000,505,,,37.816017718921756,,0.3423299549995136,True
4,1000,clustered_sa,greedy,32,32000,505,,,36.172247592775165,,0.1370059399996535,True
4,1000,clustered_sa,kmeans,32,32000,505,,,33.565498522536046,,0.23084222600027715,True
4,1000,clustered_sa,hierarchical,32,32000,505,,,34.17168305179132,,0.13693413599958149,True
4,1000,clustered_sa,spectral,32,32000,505,,,34.59235242191457,,0.3904387129996394,True
4,1000,clustered_sa,greedy,44,32000,505,,,33.86061989134656,,0.12881047399969248,True
4,1000,clustered_sa,kmeans,44,32000,505,,,32.59059139354339,,0.25192338199940423,True
4,1000,clustered_sa,hierarchical,44,32000,505,,,31.655572802262018,,0.1465065170004891,True
4,1000,clustered_sa,spectral,44,32000,505,,,32.83482635287009,,0.38461275699955877,True
4,1000,clustered_sa,greedy,64,32000,505,,,32.7809513490467,,0.13859319499988487,True
4,1000,clustered_sa,kmeans,64,32000,505,,,32.17222061350529,,0.27756751099968824,True
4,1000,clustered_sa,hierarchical,64,32000,505,,,31.28186140653686,,0.16362257599939767,True
4,1000,clustered_sa,spectral,64,32000,505,,,31.506887258183056,,0.43577836900021794,True
5,1000,clustered_sa,greedy,16,32000,606,,,42.22599513861868,,0.1191217109999343,True
5,1000,clustered_sa,kmeans,16,32000,606,,,40.09046608073886,,0.17659879500024545,True
5,1000,clustered_sa,hierarchical,16,32000,606,,,40.97349110557008,,0.13976909899974999,True
5,1000,clustered_sa,spectral,16,32000,606,,,41.643247389017546,,0.335012464999636,True
5,1000,clustered_sa,greedy,22,32000,606,,,38.22602656422784,,0.12173342699952627,True
5,1000,clustered_sa,kmeans,22,32000,606,,,36.97565987382742,,0.18174085300051956,True
